Rating,Crash_Severity,Driver_VehicleNumber,Driver_InjuryType,Driver_Age,Driver_Gender,Driver_Action_Type_Cd,Driver_Airbag_Deployment,Driver_Condition_Type_Cd,Driver_Distraction_Type_Cd,Driver_Drinking_Type_Cd,Driver_Drug_Use_Cd,Driver_Ejected_From_Vehicle,Driver_Ems_Transport_Ind,Driver_Fled_Scene_Ind,Driver_Safety_Equip_Used,Driver_Vis_Obscured_Type_Cd,Summons_Issued_Cd,Vehiclenumber,Vehicle_Body_Type_Cd,Vehicle_Maneuver_Type_Cd,Speed_Before,Speed_Posted,Speed_Max_Safe,First_Crash_Event_Cd,Most_Harmful_Crash_Event_Cd,Initial_Veh_Impact_Area_Cd,Direction_Of_Travel_Cd,Route or Street Name
25,1.0,1.0,0.0,72.0,1,11,1,1,14,1,2,1,0,0,2,1,1,2,1,1,10.0,25.0,25.0,20,20,12,4,KING STREET/ N HENRY ST
68,3.0,1.0,0.0,23.0,0,11,2,1,14,1,2,1,1,0,3,1,0,2,22,1,15.0,25.0,25.0,20,20,4,4,3100 BLOCK AZALEA GARDEN RD
72,1.0,1.0,0.0,19.0,1,3,2,1,14,1,2,1,0,0,3,1,2,2,1,1,35.0,60.0,0.0,20,20,12,3,SB I-95
24,2.0,1.0,0.0,18.0,1,22,8,1,14,1,2,1,0,0,3,1,0,2,22,1,0.0,25.0,25.0,20,20,7,2,CAROLINA AVE
23,1.0,1.0,0.0,39.0,1,32,8,1,14,1,2,1,0,0,3,1,2,1,1,9,45.0,55.0,55.0,28,30,1,2,MONROVIA RD
31,1.0,1.0,0.0,45.0,0,34,5,1,14,6,0,1,0,1,9,1,2,1,1,10,0.0,25.0,0.0,3,3,12,1,519 7 1/2 ST SW
38,2.0,1.0,0.0,0.0,0,34,0,9,0,6,3,0,0,1,0,0,0,1,1,1,0.0,55.0,0.0,19,19,0,0,EB RT 30
22,3.0,1.0,0.0,65.0,1,10,3,1,14,1,2,1,1,0,8,1,1,2,9,1,1.0,25.0,25.0,20,20,2,1,3400 DEBREE AVE
83,1.0,1.0,0.0,38.0,0,42,2,1,7,1,2,1,0,0,3,14,1,2,3,14,65.0,65.0,65.0,20,20,4,2,INTERSTATE 64 EAST
23,1.0,1.0,0.0,22.0,0,12,2,1,14,1,2,1,0,0,3,1,1,3,1,1,75.0,70.0,50.0,20,20,12,1,INTERSTATE 81
18,3.0,1.0,0.0,21.0,1,31,1,1,14,1,2,1,1,0,3,1,2,2,1,1,25.0,25.0,25.0,42,6,12,4,2900 DECATUR ST
23,1.0,1.0,0.0,58.0,0,37,2,1,14,1,2,1,0,0,3,1,2,2,1,5,30.0,45.0,45.0,20,20,12,3,BELMONT RIDGE RD
69,3.0,1.0,0.0,21.0,1,2,1,1,14,1,2,1,1,0,3,1,1,2,1,1,0.0,30.0,30.0,20,20,12,3,HAMPTON BLVD
20,1.0,1.0,0.0,46.0,1,1,2,1,14,1,2,1,0,0,3,1,2,2,22,2,5.0,25.0,0.0,20,20,12,1,100 E BRAMBLETON AVE
30,1.0,1.0,0.0,0.0,0,40,8,9,11,6,3,1,0,1,3,13,3,1,1,10,0.0,60.0,60.0,28,11,11,3,I-664 SOUTH
61,1.0,1.0,0.0,33.0,1,40,2,1,14,1,2,1,0,0,3,2,1,2,2,14,65.0,55.0,55.0,20,20,2,1,I-95
14,2.0,1.0,0.0,56.0,0,42,2,1,14,1,2,1,0,0,3,1,1,2,2,14,35.0,45.0,45.0,20,20,11,4,W MERCURY BLVD
21,1.0,1.0,0.0,29.0,1,2,5,1,14,1,2,1,0,0,3,1,2,2,22,1,50.0,35.0,35.0,20,20,1,4,COGBILL RD
37,1.0,1.0,0.0,37.0,0,42,2,1,14,1,2,1,0,0,3,1,1,2,1,14,60.0,60.0,60.0,20,28,11,1,I-664 NORTH
21,1.0,1.0,0.0,42.0,1,42,2,1,14,1,2,1,0,0,3,1,2,2,22,14,15.0,55.0,15.0,20,20,7,3,I-495 SOUTH
21,3.0,1.0,0.0,40.0,0,11,8,1,14,1,2,1,0,0,3,1,1,3,1,2,10.0,35.0,0.0,20,20,10,2,JAHNKE ROAD
25,1.0,1.0,0.0,38.0,0,40,2,1,14,1,2,1,0,0,3,1,1,2,23,14,70.0,70.0,70.0,20,20,5,3,I-81 SOUTHBOUND
68,2.0,1.0,0.0,47.0,0,37,6,1,14,1,3,1,0,0,3,1,2,1,1,9,0.0,25.0,25.0,28,3,1,3,GRACE ST
21,3.0,1.0,0.0,41.0,1,40,2,1,14,1,2,1,0,0,3,1,2,1,22,9,45.0,45.0,45.0,28,2,12,3,OAKVILLE RD
43,4.0,1.0,0.0,61.0,1,12,8,1,6,1,2,1,1,0,8,1,1,3,22,1,45.0,45.0,25.0,20,20,12,3,IRONBOUND RD
23,1.0,1.0,0.0,56.0,1,15,2,1,14,1,2,1,0,0,3,1,2,2,23,3,10.0,35.0,35.0,20,20,2,4,WOODLAND RD
31,1.0,1.0,0.0,56.0,1,40,2,1,14,4,2,1,0,0,3,1,1,1,22,9,55.0,55.0,55.0,28,2,12,2,CHATHAM RD
48,1.0,1.0,0.0,23.0,1,11,2,1,14,0,0,1,0,0,3,11,1,2,22,3,5.0,35.0,0.0,20,20,1,2,B4800 MIDLOTHIAN TPKE
59,1.0,1.0,0.0,64.0,0,34,0,9,14,6,3,0,0,1,0,0,0,2,1,0,0.0,55.0,55.0,20,20,12,3,SOUTHBOUND INTERSTATE 95
18,4.0,1.0,0.0,18.0,1,40,2,1,14,1,2,1,0,0,3,1,1,3,2,6,60.0,60.0,60.0,42,20,1,3,SOUTH INTERSTATE 664
17,1.0,1.0,0.0,43.0,1,11,2,1,14,1,2,1,0,0,3,16,2,2,3,3,15.0,35.0,35.0,20,20,10,3,WILLIS RD
43,3.0,1.0,0.0,24.0,1,12,3,1,14,1,2,3,1,0,5,1,1,2,11,9,75.0,55.0,50.0,20,20,12,2,EASTBOUND INTERSTATE 264
11,1.0,1.0,0.0,0.0,0,34,2,9,0,6,3,0,0,1,0,0,0,1,2,10,0.0,35.0,35.0,28,3,11,4,COGBILL RD
41,1.0,1.0,0.0,56.0,1,2,2,1,14,1,2,1,0,0,3,2,2,2,2,1,65.0,55.0,55.0,20,20,12,4,I-66
10,3.0,1.0,0.0,48.0,1,21,2,1,14,1,2,1,1,0,3,1,1,2,1,1,30.0,30.0,30.0,20,20,11,4,800 BLK DUKE ST
8,1.0,1.0,0.0,18.0,1,40,2,1,14,1,2,1,0,0,3,1,1,1,1,10,75.0,70.0,65.0,42,5,12,3,I-81
15,2.0,1.0,0.0,36.0,1,12,1,1,5,1,3,1,0,0,3,1,1,2,2,1,35.0,55.0,55.0,20,20,12,2,ROCKFISH GAP TPKE
61,4.0,1.0,0.0,25.0,0,1,1,1,14,1,2,1,1,0,3,1,2,4,1,1,40.0,55.0,55.0,42,20,6,1,RT47
14,1.0,1.0,0.0,21.0,1,42,2,1,14,1,2,1,0,0,3,1,1,2,1,14,75.0,70.0,70.0,20,20,2,1,NOURTHBOUND INTERSTATE 95
21,1.0,1.0,0.0,51.0,1,12,2,1,0,1,2,1,0,0,3,1,2,2,3,14,45.0,50.0,50.0,20,20,11,1,8200-BLK ROUTE 17
37,1.0,1.0,0.0,55.0,1,42,2,1,14,1,2,1,0,0,3,1,2,2,1,14,10.0,55.0,55.0,20,20,12,4,INTERSTATE 264 WESTBOUND
21,1.0,1.0,0.0,17.0,0,42,2,1,14,1,2,1,0,0,3,1,1,2,1,14,45.0,45.0,45.0,20,20,11,1,ROUTE 221 NORTH
21,3.0,1.0,0.0,78.0,0,12,1,5,14,1,2,1,1,0,3,1,1,2,1,1,8.0,25.0,25.0,20,20,12,1,N. MEADOW ST.
25,1.0,1.0,0.0,22.0,1,40,2,1,14,1,2,1,0,0,3,1,1,1,1,10,30.0,30.0,30.0,28,3,12,1,CHAIN BRIDGE RD
68,1.0,1.0,0.0,19.0,0,37,2,6,6,1,2,1,0,0,3,1,1,2,3,1,25.0,25.0,25.0,6,6,12,3,6710 25TH ST N
21,2.0,1.0,0.0,71.0,1,40,2,5,14,1,2,1,1,0,3,1,2,1,1,4,10.0,30.0,0.0,13,2,11,1,300 BOUSH ST
61,1.0,1.0,0.0,16.0,1,6,2,1,11,6,3,1,0,1,9,11,2,2,1,3,15.0,25.0,25.0,20,20,2,3,S CRATER ROAD AND GRAHAM ROAD
14,4.0,1.0,0.0,69.0,1,11,8,1,14,1,3,1,1,0,3,1,1,2,22,4,30.0,60.0,60.0,20,20,3,3,W LYNCHBURG SALEM TPKE
21,1.0,1.0,0.0,73.0,1,40,2,1,14,1,2,1,0,0,3,1,1,1,2,10,60.0,65.0,60.0,28,30,5,3,I-81 SOUTH
37,1.0,1.0,0.0,68.0,0,18,2,1,14,1,2,1,0,0,3,1,2,2,22,12,10.0,25.0,0.0,20,20,6,2,22502 FOREST MANOR DR.
21,4.0,1.0,0.0,17.0,0,40,8,1,14,1,2,1,1,0,3,1,2,1,1,9,55.0,55.0,35.0,28,33,1,3,RIVER RD.
21,1.0,1.0,0.0,46.0,0,34,0,9,14,6,3,0,0,1,0,0,0,2,2,1,0.0,45.0,0.0,20,20,12,3,Pilot Rd.
25,1.0,1.0,0.0,0.0,0,34,0,0,0,0,0,0,0,1,0,0,0,1,1,10,0.0,10.0,10.0,28,28,12,3,EASTGATE BLVD
68,3.0,1.0,0.0,36.0,1,12,2,1,14,1,2,1,0,0,3,1,1,2,22,1,0.0,35.0,0.0,20,20,12,1,RICHMOND-HENRICO TPKE
21,1.0,1.0,0.0,23.0,1,42,2,1,14,1,2,1,0,0,3,1,1,2,3,14,60.0,55.0,55.0,20,20,3,3,ROUTE 153/ROCKY HILL ROAD
21,1.0,1.0,0.0,20.0,0,22,1,1,14,1,2,1,0,0,3,1,1,2,1,1,25.0,25.0,0.0,20,20,12,1,LAUREL ST NE
21,3.0,1.0,0.0,23.0,1,3,8,1,14,1,2,1,1,0,3,1,1,1,22,9,50.0,55.0,40.0,28,5,1,1,NB RT 1
25,1.0,1.0,0.0,35.0,1,31,2,1,14,1,2,1,0,0,3,2,1,2,1,14,55.0,55.0,40.0,20,20,11,3,INTERSTATE 395 SOUTHBOUND
68,1.0,1.0,0.0,43.0,1,3,2,1,14,1,2,1,0,0,3,1,2,2,22,1,21.0,35.0,20.0,20,20,2,4,Shenandoah Shores Rd
21,1.0,1.0,0.0,17.0,1,1,1,1,14,1,2,1,0,0,3,1,2,1,2,2,15.0,25.0,20.0,28,2,12,1,7400 CENTRAL BUSINESS PARK DR
21,1.0,1.0,0.0,31.0,1,37,2,1,13,3,3,1,0,0,3,1,1,2,1,5,15.0,30.0,30.0,20,20,12,2,S. FOUR MILE RUN DR
43,1.0,1.0,0.0,52.0,0,11,2,1,14,1,2,1,0,0,3,1,1,2,1,16,10.0,35.0,35.0,20,20,12,3,115 W LITTLE CREEK ROAD
23,1.0,1.0,0.0,37.0,1,11,2,1,14,6,3,1,0,0,3,1,2,2,3,2,5.0,45.0,0.0,42,42,0,1,LOUDOUN COUNTY PARKWAY
31,1.0,1.0,0.0,34.0,1,42,2,1,14,1,0,1,0,0,3,1,1,2,23,14,65.0,65.0,65.0,20,20,1,3,INTERSTATE 95 SOUTHBOUND
48,1.0,1.0,0.0,48.0,1,12,1,1,14,1,2,1,0,0,3,1,2,2,1,1,35.0,45.0,45.0,20,20,12,4,MERRIMAC TRAIL
59,1.0,1.0,0.0,24.0,0,12,1,1,14,1,2,1,0,0,3,1,1,3,1,1,45.0,55.0,20.0,20,20,12,4,I-495 WEST
43,1.0,1.0,0.0,17.0,1,40,1,1,7,1,2,1,0,0,3,1,1,1,1,9,40.0,45.0,45.0,28,2,12,1,ROSE RIDGE
23,1.0,1.0,0.0,38.0,1,12,2,1,14,1,2,1,0,0,3,1,2,2,2,1,25.0,55.0,20.0,20,20,12,4,INTERSTATE 64 WEST
31,1.0,1.0,0.0,23.0,1,12,2,1,14,1,2,1,0,0,3,1,1,3,1,1,20.0,55.0,0.0,20,20,11,3,GLEBE ROAD ACCESS LANES
48,1.0,1.0,0.0,36.0,0,40,2,6,2,1,2,1,0,0,3,1,1,1,22,9,55.0,55.0,55.0,28,3,1,4,I-95S
59,1.0,1.0,0.0,28.0,1,16,2,1,14,1,2,1,0,0,3,1,1,2,1,4,10.0,55.0,55.0,20,20,8,4,1895 MERRIMAC TRL
25,3.0,1.0,0.0,27.0,1,37,2,1,14,1,2,1,0,0,3,1,2,2,1,1,5.0,25.0,25.0,20,20,12,1,N BEAUREGARD ST
68,3.0,1.0,0.0,19.0,1,2,2,1,14,1,2,1,1,0,3,1,2,2,1,1,75.0,65.0,65.0,20,30,11,1,NB I-95
21,1.0,1.0,0.0,23.0,1,15,2,1,12,1,2,1,0,0,3,1,1,1,1,3,0.0,45.0,45.0,8,8,12,2,WEST BROAD ST
43,4.0,1.0,0.0,38.0,1,40,2,8,11,1,2,1,1,0,3,1,2,2,1,1,30.0,30.0,30.0,6,6,12,3,1005 COTTAGE ST SW
23,3.0,1.0,0.0,34.0,1,12,2,1,14,1,2,1,0,0,3,1,1,3,1,1,60.0,55.0,45.0,20,20,12,4,I-64 WEST BOUND
31,3.0,1.0,0.0,46.0,1,40,3,1,7,1,2,3,1,0,5,11,1,1,11,1,55.0,55.0,55.0,7,7,12,2,INTERSTATE 64 EAST
48,1.0,1.0,0.0,48.0,1,1,8,1,14,1,2,1,0,0,3,1,2,1,1,1,55.0,55.0,55.0,23,23,12,4,RT. 42 / LITTLE CALF PASTURE HIGHWAY
59,1.0,1.0,0.0,30.0,1,32,1,1,14,1,3,1,0,0,2,1,2,1,22,9,25.0,25.0,0.0,28,12,1,1,RT 683/BELLVIEW RD
18,2.0,1.0,0.0,54.0,1,16,2,1,14,1,2,1,0,0,3,1,2,2,1,2,10.0,35.0,35.0,20,20,1,2,SETTLERS LANDING RD
17,1.0,1.0,0.0,64.0,0,11,2,1,11,0,2,1,0,0,3,0,1,2,1,2,25.0,25.0,25.0,20,20,10,3,103 S MAIN ST
9,1.0,1.0,0.0,57.0,0,1,5,9,14,6,3,1,0,0,9,1,0,2,1,1,30.0,25.0,0.0,10,10,2,1,CAMERON MILLS ROAD / ALLISON STREET
12,4.0,1.0,0.0,58.0,1,40,8,1,14,1,2,1,1,0,8,1,1,1,2,9,70.0,70.0,70.0,28,2,1,3,I-81
61,3.0,1.0,0.0,33.0,0,11,1,1,14,1,2,1,0,0,3,1,1,2,1,1,35.0,35.0,35.0,20,20,12,3,8300 CHESAPEAKE BLVD
14,1.0,1.0,0.0,62.0,1,14,2,1,14,1,0,1,0,0,3,1,2,2,25,2,10.0,10.0,10.0,27,27,5,2,VIRGINIA INTERNATIONAL GATEWAY
21,4.0,1.0,0.0,38.0,1,21,8,1,14,1,2,1,0,0,3,1,0,2,23,1,50.0,55.0,0.0,20,20,12,4,HARRY BYRD HWY
37,2.0,1.0,0.0,0.0,0,34,0,0,0,0,3,0,0,1,0,0,3,1,1,1,2.0,30.0,30.0,19,19,12,4,HIGH ST
21,3.0,1.0,0.0,23.0,0,12,1,1,14,1,2,1,0,0,3,1,1,3,1,1,45.0,45.0,0.0,20,20,12,2,J CLYDE MORRIS BLVD
21,3.0,1.0,0.0,22.0,0,12,2,1,14,1,2,1,0,0,3,1,1,2,1,5,15.0,55.0,0.0,20,20,12,2,INTERSTATE 64 EASTBOUND
25,1.0,1.0,0.0,28.0,0,21,2,1,14,1,2,1,0,0,3,1,1,2,22,1,40.0,45.0,0.0,20,20,11,2,HUNGARY RD
68,1.0,1.0,0.0,31.0,1,42,2,1,14,1,2,1,0,0,3,1,1,2,1,14,55.0,55.0,55.0,20,20,10,4,WB I-495
21,1.0,1.0,0.0,27.0,0,3,1,1,14,1,2,1,0,0,3,1,1,1,1,10,40.0,55.0,0.0,28,11,11,3,INTERSTATE 95 SOUTHBOUND
23,1.0,1.0,0.0,30.0,1,40,2,1,14,1,2,1,0,0,3,1,1,1,22,10,55.0,55.0,55.0,28,5,11,3,SOUTHBOUND I-195
18,4.0,1.0,0.0,72.0,1,40,1,9,11,1,2,1,1,0,3,13,1,3,1,10,30.0,35.0,35.0,6,6,11,2,113 SACRAMENTO DR
23,1.0,1.0,0.0,22.0,1,40,2,1,14,4,3,1,0,0,3,1,1,1,22,3,0.0,25.0,0.0,10,10,1,2,BYRON STREET
69,3.0,1.0,0.0,24.0,1,40,2,1,14,1,2,1,1,0,3,1,1,1,1,1,0.0,55.0,0.0,13,13,4,2,LITTLE RIVER TPKE
20,4.0,1.0,0.0,60.0,1,40,3,9,14,1,2,1,1,0,5,1,2,1,11,9,45.0,55.0,55.0,28,30,3,4,ROUTE 33
30,1.0,1.0,0.0,53.0,1,42,2,1,14,1,2,1,0,0,3,1,1,2,2,14,30.0,35.0,25.0,20,20,11,2,I-66 EAST
61,4.0,1.0,0.0,25.0,1,12,8,1,14,1,2,1,1,0,2,1,2,2,22,1,60.0,55.0,25.0,20,20,12,2,9400-BLK LEE HWY
14,1.0,1.0,0.0,20.0,0,12,1,1,14,1,2,1,0,0,3,1,1,2,1,1,40.0,45.0,45.0,20,20,12,4,10825 MIDLOTHIAN TPKE
21,1.0,1.0,0.0,34.0,1,1,2,1,14,1,2,1,0,0,3,1,2,2,1,1,55.0,55.0,55.0,20,20,11,1,0015 JAMES MADISON HIGHWAY
37,2.0,1.0,0.0,39.0,1,1,2,1,14,1,2,1,0,0,3,1,1,2,2,5,20.0,45.0,45.0,37,20,12,3,GODWIN BLVD
21,1.0,1.0,0.0,36.0,1,12,2,1,0,1,2,1,0,0,3,1,1,2,1,1,25.0,25.0,25.0,20,20,12,1,NORTH CHURCH ST.
21,1.0,1.0,0.0,17.0,1,40,8,1,8,1,0,1,0,0,3,1,1,2,1,1,20.0,25.0,0.0,6,6,12,1,N JORDAN STREET
25,1.0,1.0,0.0,46.0,0,12,1,1,14,1,2,1,0,0,3,1,1,3,1,1,20.0,60.0,0.0,20,20,12,3,SOUTH BOUND I-664
68,1.0,1.0,0.0,27.0,1,40,8,1,7,4,2,1,0,0,3,1,1,3,1,1,30.0,25.0,25.0,6,6,1,4,2811 ROSALEE DR
21,1.0,1.0,0.0,31.0,1,40,6,9,11,6,3,1,0,0,3,1,3,1,22,1,0.0,15.0,15.0,14,14,11,3,OAKLEYS PL
43,1.0,1.0,0.0,0.0,0,40,6,9,0,6,3,1,0,1,9,0,2,1,22,1,20.0,25.0,25.0,4,30,12,1,1334 GOLDFINCH DR
43,3.0,1.0,0.0,67.0,0,11,2,1,14,1,2,1,0,0,3,1,1,2,2,3,25.0,35.0,35.0,20,20,12,1,725 E ATLANTIC
23,3.0,1.0,0.0,36.0,1,40,2,1,14,5,3,1,1,0,3,1,3,1,22,9,35.0,35.0,35.0,28,3,12,3,BROCK RD ( RT 613)
31,1.0,1.0,0.0,35.0,1,40,2,1,14,1,2,1,0,0,3,1,1,1,2,10,45.0,55.0,30.0,36,1,12,1,RT.18
48,1.0,1.0,0.0,22.0,1,12,2,1,14,1,2,1,0,0,8,1,1,2,1,1,45.0,45.0,10.0,20,20,12,3,ROUTE 273/ FARMERS DR
59,1.0,1.0,0.0,17.0,0,42,2,1,14,1,2,1,0,0,3,1,1,2,22,14,35.0,45.0,45.0,20,20,2,2,HULL STREET ROAD
18,1.0,1.0,0.0,21.0,1,1,2,1,14,1,2,1,0,0,3,1,2,1,1,1,45.0,55.0,55.0,23,23,11,2,EB I-66
17,3.0,1.0,0.0,37.0,1,21,1,1,14,1,2,1,0,0,8,1,1,2,1,1,50.0,50.0,0.0,20,20,12,4,COURTHOUSE RD
9,1.0,1.0,0.0,25.0,0,34,0,9,0,6,3,0,0,1,0,0,0,2,1,1,0.0,45.0,45.0,20,20,11,3,400 BLOCK S. INDEPENDENCE BLVD
12,1.0,1.0,0.0,21.0,1,40,2,1,6,4,2,1,0,0,3,1,1,1,1,3,25.0,40.0,40.0,8,8,12,3,RUSSELL BRANCH PKWY
61,3.0,1.0,0.0,18.0,1,37,2,1,14,1,2,1,0,0,3,1,2,2,1,1,38.0,35.0,35.0,20,20,11,4,COUNTY DRIVE
14,1.0,1.0,0.0,63.0,0,12,2,1,14,1,2,1,0,0,3,1,1,3,1,1,15.0,45.0,5.0,20,20,12,1,RT 221
21,1.0,1.0,0.0,65.0,1,1,2,1,14,1,2,1,0,0,3,1,2,1,2,1,55.0,55.0,55.0,23,23,11,3,RT.220/ROANOKE RD
37,3.0,1.0,0.0,30.0,0,12,1,1,14,1,2,1,0,0,3,1,1,2,1,1,50.0,55.0,55.0,20,20,12,1,NEIL ARMSTRONG PKWY
21,3.0,1.0,0.0,59.0,0,40,6,1,14,1,2,1,1,0,3,1,1,2,22,14,70.0,70.0,60.0,36,20,9,3,I-81
21,1.0,1.0,0.0,25.0,1,17,2,1,14,0,0,1,0,0,3,2,3,2,1,3,10.0,45.0,45.0,20,20,1,4,RT. 1
25,1.0,1.0,0.0,20.0,0,12,2,1,14,1,2,1,0,0,3,1,1,2,22,1,45.0,45.0,45.0,20,20,1,1,BOOKER T WASHINGTON HWY
68,1.0,1.0,0.0,21.0,1,12,2,1,14,1,2,1,0,0,3,1,1,2,2,1,20.0,0.0,0.0,20,20,12,3,ROUTE 11
21,1.0,1.0,0.0,56.0,0,40,2,1,9,1,2,1,0,0,3,1,0,1,22,9,35.0,35.0,35.0,28,2,12,2,OLD KEENE MILL RD
23,1.0,1.0,0.0,24.0,1,12,2,1,11,1,2,1,0,0,3,1,1,2,1,1,45.0,45.0,45.0,20,20,12,3,1000 BLK OCEANA BLVD
18,1.0,1.0,0.0,22.0,0,11,2,1,14,1,2,1,0,0,3,1,1,2,1,3,10.0,35.0,35.0,20,20,12,2,Deveraux DR
23,1.0,1.0,0.0,34.0,0,12,2,1,14,1,2,1,0,0,3,1,1,2,1,5,15.0,60.0,0.0,20,20,12,1,I-664 NORTH
69,1.0,1.0,0.0,26.0,1,21,2,1,11,1,0,1,0,0,3,1,1,3,2,1,25.0,35.0,0.0,20,20,12,1,COMMERCE ST / BOWIE DR
21,1.0,1.0,0.0,25.0,0,1,1,1,14,1,3,1,0,0,2,1,0,1,1,9,55.0,55.0,55.0,28,2,12,1,PIN OAK ROAD
25,1.0,1.0,0.0,46.0,0,40,6,6,2,1,2,1,0,0,3,1,2,1,22,1,70.0,70.0,70.0,30,30,10,1,I-95N AT 28MM
68,1.0,1.0,0.0,42.0,0,11,2,1,14,1,2,1,0,0,3,1,2,2,22,4,10.0,35.0,35.0,20,20,1,3,MEDICAL DR
21,1.0,1.0,0.0,46.0,0,1,2,1,14,1,2,1,0,0,3,1,2,1,22,1,55.0,55.0,55.0,23,23,12,1,ROUTE 29 BUSINESS - SOUTH AMHERST HIGHWAY
21,3.0,1.0,0.0,20.0,1,11,8,1,14,1,2,1,0,0,3,1,1,3,3,3,10.0,45.0,45.0,20,20,1,1,52/SOUTH MAIN STREET
43,1.0,1.0,0.0,19.0,0,11,2,1,14,1,2,1,0,0,3,1,1,2,2,6,40.0,55.0,0.0,20,20,12,4,RT 301 / SKIPPERS RD
23,1.0,1.0,0.0,62.0,1,40,2,1,14,1,2,1,0,0,3,1,1,1,2,9,55.0,55.0,55.0,28,30,1,1,RT.221/FLOYD PIKE
31,1.0,1.0,0.0,62.0,0,21,1,1,0,1,2,1,0,0,3,1,2,2,1,1,35.0,35.0,35.0,20,20,12,2,MONUMENT DR
48,1.0,1.0,0.0,71.0,1,18,2,1,14,1,2,1,0,0,3,14,2,2,4,12,1.0,40.0,40.0,20,20,6,4,HOLLINS RD
59,2.0,1.0,0.0,26.0,1,40,2,1,7,1,2,1,0,0,3,1,1,1,22,1,30.0,25.0,25.0,13,13,11,3,MIDDLEBROOK AVE
43,3.0,1.0,0.0,17.0,0,11,8,1,14,1,2,1,0,0,3,1,1,2,1,3,35.0,45.0,35.0,20,20,12,1,OTTERDALE RD
