Route or Street Name,avg_crash_severity,adjusted_safety_rating
0-BLK GATEWOOD RD,1.0,81.47710787695678
0-BLK N ARMISTEAD AVE,4.0,60.19734551238405
0-BLK SETTLERS LANDING RD,2.0,71.0505204220992
0.6 MM RT 37 N,1.0,81.47710787695678
00 BLK N 21ST STREET,1.0,81.47710787695678
00 BLK OF RIVER ROAD,1.0,81.47710787695678
00 BLK W BROAD ROCK ROAD,3.0,60.62393296724162
00 BLK W CANAL ST,1.0,81.47710787695678
00 BLK W CLOPTON ST,1.0,81.47710787695678
00 BLK W COMMERCE RD,2.0,71.0505204220992
00 BLK WESTOVER HILLS BLVD,3.0,60.62393296724162
00 BLOCK W BROAD STREET,3.0,60.62393296724162
00 E BROAD ST,1.0,81.47710787695678
00 N 3RD ST,3.0,60.62393296724162
00 N BELVIDERE ST,1.8333333333333333,47.21123332838103
00 N BELVIDERE STREET,1.0,81.47710787695678
00 N THOMPSON ST,1.0,81.47710787695678
00 NORTH BELVIDERE ST,3.0,60.62393296724162
00 OVERBROOK ROAD,1.0,81.47710787695678
00 RIVER ROAD,1.0,81.47710787695678
00 S BELVIDERE ST,1.0,81.47710787695678
00-BLK E COMMERCE ROAD,1.0,81.47710787695678
00-BLK W 9TH STREET,1.0,81.47710787695678
00-BLK W MERCURY BLVD,2.0,71.0505204220992
000 S. NANSEMOND STREET,1.0,81.47710787695678
0000  /  DILLINGHAM SQUARE,1.0,81.47710787695678
0000  PRIVATE ROAD,1.0,81.47710787695678
0000 / (PVT) NAZARANE WAY,1.0,81.47710787695678
0000 / BULLOCH DRIVE,3.0,60.62393296724162
0000 / COTSWOLD MANOR LOOP,1.0,81.47710787695678
0000 / DEER RUN DRIVE,1.0,81.47710787695678
0000 / DOROTHY LANE,3.0,60.62393296724162
0000 / FALLS GROVE DR,1.0,81.47710787695678
0000 / FOREST HILL AVE,1.0,81.47710787695678
0000 / NORTH POINT ROAD,1.0,81.47710787695678
0000 / OCCOQUAN RD,1.0,81.47710787695678
0000 / POP MOUBURY PLACE,1.0,81.47710787695678
0000 / RIVER ROCK WAY,1.0,81.47710787695678
0000 / SHOPPERS BEST WAY,2.0,71.0505204220992
0000 / THOROUGHGOOD DR,3.0,60.62393296724162
0000 / WILD GINGER CIRCLE,3.0,60.62393296724162
0000 / YATES,1.0,81.47710787695678
0000 ABBERLEY LOOP,3.0,60.62393296724162
0000 BATTLEFIELD HIGH SCHOOL PARKING LOT,3.0,60.62393296724162
0000 CALOOSA WAY,3.0,60.62393296724162
0000 CAMDENHURST DRIVE,1.0,81.47710787695678
0000 CRESCENT PARK DRIVE,3.0,60.62393296724162
0000 DAYTONA COURT,1.0,81.47710787695678
0000 DUMFRIES PARK AND RIDE,1.0,81.47710787695678
0000 DUNBARTON DRIVE,1.0,81.47710787695678
0000 FELICIA CT,1.0,81.47710787695678
0000 FOREST GROVE DRIVE,1.0,81.47710787695678
0000 GATEWAY CENTER DRIVE,1.0,81.47710787695678
0000 HANSEN FARM DRIVE,3.0,60.62393296724162
0000 HANSEN FARM ROAD,1.0,81.0505204220992
0000 HERITAGE VALLEY WAY,3.0,60.62393296724162
0000 HERITAGE VILLAGE PLAZA,3.0,60.62393296724162
0000 HINTON WAY,1.0,81.47710787695678
0000 HONEY BEE WAY,1.0,81.47710787695678
0000 INDUSTRIAL COURT,1.0,81.47710787695678
0000 INERSTATE 95 NORTH EXIT RAMP,1.0,81.47710787695678
0000 KAPPY VALLEY WAY,,
0000 LAKE OCCOQUAN DRIVE,3.0,60.62393296724162
0000 LIBERIA AVENUE,3.0,60.62393296724162
0000 MARBLESTONE DR,1.0,81.47710787695678
0000 MCGRAWS CORNER DRIVE,1.0,81.47710787695678
0000 NOBLEWOOD PLAZA,1.0,81.47710787695678
0000 NUTMEG COURT,,
0000 ORCHARD BRIDGE DRIVE,1.0,81.47710787695678
0000 POST OFFICE ROAD,1.0,81.47710787695678
0000 POTOMAC MILLS CIRCLE,1.0,81.47710787695678
0000 PRIVATE DRIVEWAY,4.0,60.19734551238405
0000 RIDGEFIELD VILLAGE DRIVE,1.0,81.47710787695678
0000 ROLLINS FORD ROAD,1.0,81.47710787695678
0000 SHELL GAS STATION,3.0,60.62393296724162
0000 SHOPPERS BEST WAY,1.0,81.47710787695678
0000 SLIGO LOOP,3.0,60.62393296724162
0000 WESTRIDGE DRIVE,1.0,81.47710787695678
0000 WHEELER RIDGE DRIVE,1.0,81.47710787695678
0000 WOODS VIEW DRIVE,3.0,60.62393296724162
0000/9059 CONNOR HOUSE RD,1.0,81.47710787695678
0000/BALLAST LN,1.0,81.47710787695678
0000/BRADY LN,1.0,81.47710787695678
0000/CHAPOWHITE DR,2.0,71.0505204220992
0000/THOROUGHGOOD DR,1.0,81.47710787695678
0000\ POTOMAC MILLS CIRCLE,1.0,81.47710787695678
0000_HEATHCOTE BLVD,1.0,81.47710787695678
0001  JEFFERSON DAVIS HIGHWAY,1.0,81.47710787695678
0001  RICHMOND HIGHWAY,1.0,81.47710787695678
0001  RICHMOND HWY,1.0,81.47710787695678
0001 / FRALEY BOULEVARD,3.0,60.62393296724162
0001 / FRAYLEY BOULEVARD,1.0,81.47710787695678
0001 / JEFFERSON DAVIS HIGHWAY,1.0,81.47710787695678
0001 / JEFFERSON DAVIS HWY,3.0,60.62393296724162
0001 / RICHMOND HIGHWAY,1.7096774193548387,6.685425116911404
0001 / RICHMOND HIGWAY,3.0,60.62393296724162
0001 / RICHMOND HWY,1.8888888888888888,44.651708599235576
"0001 / RICHMOND HWY,",1.0,81.47710787695678
0001 / RICHMOND HWY.,2.0,70.19734551238405
0001 / ROUTE 1,2.0,70.19734551238405
0001 FRALEY BOULEVARD,1.0,81.47710787695678
0001 JEFFERSON DAVIS HIGHWAY,2.2,47.21123332838103
0001 MAIN STREET,2.5,49.77075805752647
0001 RICHMOND HIGHWAWY,4.0,60.19734551238405
0001 RICHMOND HIGHWAY,1.8756218905472637,1.0
0001 RICHMOND HIGHWAY/,1.0,81.47710787695678
0001 RICHMOND HIGHWY,1.0,81.47710787695678
0001 RICHMOND HWY,2.176470588235294,36.11995950208408
0001 RICHMOND WHY,1.0,81.47710787695678
0001 RICHNOND HIGHWAY,1.0,81.47710787695678
0001-RICHMOND HIGHWAY,1.0,81.47710787695678
0001/ JEFFERSON DAVIS HWY,1.0,81.47710787695678
0001/ RICHMOND HIGHWAY,2.2857142857142856,38.25289677637195
0001/ RICHMOND HWY,1.0,81.47710787695678
0001/FRALEY BLVD,3.0,60.62393296724162
0001/JEFFERSON DAVIS HIGHWAY,2.0,70.19734551238405
0001/JEFFERSON DAVIS HWY / 4005/CHESAPEAKE DR,1.0,81.47710787695678
0001/RICHMOND HIGHWAY,1.9285714285714286,28.8679727695053
0001/RICHMOND HWY,2.125,44.651708599235576
0001RICHMOND HIGHWAY,1.0,81.47710787695678
00028/CENTREVILLE ROAD,1.0,81.47710787695678
0007/E.MAIN ST,1.0,81.47710787695678
0007/HARRY BYRD HWY,1.0,81.47710787695678
0007/HARY BYRD HWY,1.0,81.47710787695678
0007/LEESBURG PIKE,3.0,60.62393296724162
0007/W HARRY BYRD HWY,1.0,81.47710787695678
0007/W MAIN ST,1.0,81.47710787695678
001 RICHMOND HIGHWAY,1.0,80.19734551238405
001/RICHMOND HIGHWAY,1.0,81.47710787695678
0015  JAMES MADISON HIGHWAY,1.0,81.47710787695678
0015 / JAMES MADISON HIGHWAY,1.6666666666666667,47.637820783238595
0015 / JAMES MADISON HWY,1.625,46.35805841866588
0015 JAMES MADISION HIGHWAY,1.0,81.47710787695678
0015 JAMES MADISON,4.0,58.490995692953746
0015 JAMES MADISON HIGHWAY,1.7272727272727273,11.377887120344731
0015 JAMES MADISON HWY,1.7894736842105263,37.399721866656805
0015/ JAMES MADISON HWY,1.0,81.47710787695678
0015/JAMES MADISON HIGHWAY,1.0,80.62393296724161
0015/JAMES MADISON HWY,1.0,79.77075805752648
0015_JAMES MADISON HIGHWAY,1.0,81.47710787695678
0017 WARRENTON ROAD,4.0,60.19734551238405
0028  NOKESVILLE ROAD,1.0,81.47710787695678
0028 /  CENTREVILLE ROAD,1.0,81.47710787695678
0028 / CENTERVILLE RD,3.0,60.62393296724162
0028 / CENTERVILLE ROAD,1.0,81.0505204220992
0028 / CENTREVILLE RD,1.25,47.637820783238595
0028 / CENTREVILLE ROAD,1.3529411764705883,42.092183870090125
0028 / NOKESVILLE RD,1.1818181818181819,46.35805841866588
0028 / NOKESVILLE ROAD,1.5,44.225121144378
0028 /CENTREVILLE ROAD,1.0,81.47710787695678
0028 CENTERVILLE ROAD,2.0,68.49099569295375
0028 CENTREVILLE RD,1.6666666666666667,47.637820783238595
0028 CENTREVILLE ROAD,1.6896551724137931,10.098124755772005
0028 CETREVILLE ROAD,1.0,81.47710787695678
0028 LIBERIA AVE,1.0,81.47710787695678
0028 LIBERIA AVENUE,1.0,81.47710787695678
0028 NOKESVILE ROAD,1.0,81.47710787695678
0028 NOKESVILLE RD,2.0,69.3441706026689
0028 NOKESVILLE ROAD,1.8285714285714285,1.0
0028/ CENTREVILLE RD,2.0,70.19734551238405
0028/ CENTREVILLE ROAD,2.0,65.9314709638083
0028/ NOKESVILLE RD,3.0,60.62393296724162
0028/ NOKESVILLE ROAD,1.0,81.0505204220992
0028/ NOKESVILLE ROAD.,3.0,60.62393296724162
0028/CENTERVILLE ROAD,3.0,60.62393296724162
0028/CENTREVILLE RD,1.0,81.0505204220992
0028/CENTREVILLE ROAD,1.0,77.6378207832386
0028/NOKESVILLE ROAD,2.0,70.19734551238405
0028NOKESVILLE ROAD,1.0,81.47710787695678
0028_CENTREVILLE ROAD,1.0,78.91758314781131
0028_NOKESVILLE ROAD,2.5,49.77075805752647
0029   LEE HWY,1.0,81.47710787695678
0029 /  JAMES MADISON HWY,1.0,81.47710787695678
0029 / LEE HIGHWAY,1.4,39.95924659580225
0029 / LEE HWY,1.25,47.637820783238595
0029 / LEEHIGHWAY,1.0,81.47710787695678
0029 / NOKESVILLE RD,3.0,60.62393296724162
0029 /LEE HIGHWAY,1.0,81.47710787695678
0029 LEE HIGHWAY,1.6428571428571428,1.0
0029 LEE HWY,1.875,26.308448040359856
0029/ LEE HIGHWAY,1.0,81.47710787695678
0029/ LEE HWY,1.0,81.47710787695678
0029/LEE HIGHWAY,1.2222222222222223,47.21123332838103
0029/LEE HWY,1.5555555555555556,45.9314709638083
0029LEE HIGHWAY,1.0,81.47710787695678
0029_LEE HIGHWAY,1.6666666666666667,49.77075805752647
0050/ARLINGTON BLVD,1.0,81.47710787695678
0055 / JOHN MARSHALL HIGHWAY,1.0,80.19734551238405
0055 / JOHN MARSHALL HWY,1.0,81.47710787695678
0055 JAMES MADISON HWY,1.0,81.47710787695678
0055 JOHN MARSHAL HIGHWAY,1.0,81.47710787695678
0055 JOHN MARSHALL,1.0,81.47710787695678
0055 JOHN MARSHALL HIGHWAY,1.631578947368421,38.67948423122952
0055 JOHN MARSHALL HWY,1.3333333333333333,48.490995692953746
0055 WASHINGTON STREET,1.0,80.62393296724161
0055/WASHINGTON STREET,1.0,81.0505204220992
0060  MIDLOTHIAN TURNPIKE,1.0,81.0505204220992
0060 / MIDLOTHIAN TURNPIKE,1.0,81.47710787695678
0068_RIXLEW LANE,1.0,81.47710787695678
0095 / I95 NORTH RAMP,1.0,81.47710787695678
0095 I95 NORTH,1.0,81.47710787695678
00B 3RD ST,3.0,60.62393296724162
00B COMMERCE RD,1.0,81.47710787695678
00B RICHMOND HWY,3.0,60.62393296724162
0100 RICHMOND HIGWAY,1.0,81.47710787695678
0123  GORDON BOULEVARD,1.0,81.47710787695678
0123 / GORDON BLLVD,3.0,60.62393296724162
0123 / GORDON BLVD,1.0,80.19734551238405
0123 / GORDON BOULEVARD,1.6,45.07829605409315
0123 GORDAN BLVD,1.0,81.47710787695678
0123 GORDON BLVD,1.4,48.91758314781132
0123 GORDON BOULEVARD,1.3829787234042554,24.17551076607198
0123 GORDON BOULEVARDE,1.0,81.47710787695678
0123 GORDON BOULVARD,3.0,60.62393296724162
0123/ GORDON BOULEVARD,2.0,70.19734551238405
0123/GORDON BLVD,1.0,81.0505204220992
0123/GORDON BOULDEVARD,1.0,81.47710787695678
0123/GORDON BOULEVARD,2.0,70.19734551238405
0123GORDON BOULEVARD,1.0,81.47710787695678
0123\ GORDON BOULEVARD,1.0,81.47710787695678
0147  HUGUENOT ROAD,1.0,81.47710787695678
015/JAMES MADISON HWY,3.0,60.62393296724162
0194 HILLENDALE DRIVE,1.0,81.47710787695678
02 WEST HUNDRED ROAD,1.0,81.47710787695678
0213 / MANASSAS DR,1.0,81.47710787695678
0213 / MANASSAS DRIVE,1.0,81.47710787695678
0215 / VINT HILL RD,1.0,81.0505204220992
0215 / VINT HILL ROAD,1.0,80.62393296724161
0215 VINT HILL RD,1.6666666666666667,49.77075805752647
0215 VINT HILL ROAD,1.6956521739130435,35.26678459236893
0215/ VINT HILL RD,1.0,81.47710787695678
0215/VINT HILL RD,1.6666666666666667,49.77075805752647
0215/VINT HILL ROAD,1.2,49.344170602668896
0215_VINT HILL ROAD,1.0,81.47710787695678
0232 // SUDLEY ROAD,1.0,81.47710787695678
0234   SUDLEY RD,2.0,71.0505204220992
0234  DUMFRIES ROAD,1.0,81.0505204220992
0234  SUDLEY ROAD,1.0,81.47710787695678
0234 (BYPASS) PRINCE WILLIAM PARKWAY,1.0,81.47710787695678
0234 / DUMFIRES RD,3.0,60.62393296724162
0234 / DUMFRIES,3.0,60.62393296724162
0234 / DUMFRIES RD,2.0,67.6378207832386
0234 / DUMFRIES ROAD,1.4444444444444444,29.721147679220454
0234 / PRINCE WILLIAM PARKWAY,1.75,45.9314709638083
0234 / PRINCE WILLIAM PKWY,1.75,48.91758314781132
0234 / SUDLEY RD,1.5714285714285714,42.5187713249477
0234 / SUDLEY ROAD,1.7428571428571429,25.881860585502277
0234 / SULDEY ROAD,1.0,81.47710787695678
0234 // DUMFIRES ROAD,2.0,70.19734551238405
0234 // DUMFRIES ROAD,2.0,68.49099569295375
0234 /SUDLEY ROAD,1.0,81.47710787695678
0234 DUMFIRES ROAD,1.0,81.47710787695678
0234 DUMFRIES RD,1.9166666666666667,42.092183870090125
0234 DUMFRIES ROAD,1.824390243902439,1.0
0234 DUMFRIESROAD,3.0,60.62393296724162
0234 PRINCE WILLIAM CO PKWY,3.0,60.62393296724162
0234 PRINCE WILLIAM COUNTY PARKWAY,1.0,81.47710787695678
0234 PRINCE WILLIAM PARKWAY,1.641025641025641,1.0
0234 PRINCE WILLIAM PKWY,1.6153846153846154,42.945358779805275
0234 SUDLEY RD,1.4615384615384615,43.798533689520426
0234 SUDLEY ROAD,1.8280254777070064,1.0
0234- DUMFRIES ROAD,1.0,81.47710787695678
0234-DUMFRIES ROAD,1.0,81.47710787695678
0234-PRINCE WILLIAM PARKWAY,1.0,81.47710787695678
0234/ DUMFRIES ROAD,1.0,81.47710787695678
0234/ PRINCE WILLIAM PKWY,1.0,81.47710787695678
0234/ SUDLEY,1.0,81.47710787695678
0234/ SUDLEY RD,1.0,81.47710787695678
0234/ SUDLEY ROAD,1.375,47.21123332838103
0234//SUDLEY ROAD,1.0,81.47710787695678
0234/DUMFRIES RD,1.0,80.62393296724161
0234/DUMFRIES RD / 2880/EXETER DR,1.0,81.47710787695678
0234/DUMFRIES ROAD,1.8333333333333333,37.82630932151437
0234/PRINCE WILLIAM PARKWAY,1.5,48.06440823809618
0234/PRINCE WILLIAM PKWY,2.0,70.19734551238405
0234/SUDLEY RD,1.0,80.19734551238405
0234/SUDLEY ROAD,1.736842105263158,37.82630932151437
0234DUMFRIES RD,3.0,60.62393296724162
0234DUMFRIES ROAD,1.0,81.47710787695678
0234SUDLEY ROAD,1.0,81.0505204220992
0234_PRINCE WILLIAM PARKWAY,1.0,81.0505204220992
0234_SUDLEY RD,1.3333333333333333,48.490995692953746
0234_SUDLEY RD.,1.6666666666666667,49.77075805752647
0234_SUDLEY ROAD,1.8888888888888888,44.651708599235576
0235 DUMFRIES ROAD,1.0,81.47710787695678
0235 SUDLEY ROAD,1.0,81.47710787695678
0238/SUDLEY RD,1.0,81.47710787695678
0253 OCCOQUAN ROAD,1.0,81.47710787695678
0274  PRINCE WILLIAM PARKWAY,3.0,60.62393296724162
0284/PRINCE WILLIAM PARKWAY,1.0,81.47710787695678
0287 LOMOND DRIVE,1.0,81.47710787695678
0287/BERLIN TPKE,1.0,81.47710787695678
0289- PRINCE WILLIAM PARKWAY,3.0,60.62393296724162
0294  PRINCE WILLIAM PARKWAY,3.0,60.62393296724162
0294  PRINCE WILLIAM PKWY,3.0,60.62393296724162
0294 - PRINCE WILLIAM PARKWAY,3.0,60.62393296724162
0294 / PRINCE WIILIAM PARKWAY,3.0,60.62393296724162
0294 / PRINCE WILLIAM COUNTY,1.0,81.47710787695678
0294 / PRINCE WILLIAM COUNTY PARKWAY,1.0,81.47710787695678
0294 / PRINCE WILLIAM PARKWAY,1.7333333333333334,7.538600026626554
0294 / PRINCE WILLIAM PARKWAY EAST,1.0,81.47710787695678
0294 / PRINCE WILLIAM PKWY,1.5,46.78464587352345
0294 / PRINCE WILLIAM PKY,1.0,81.47710787695678
0294 // PRINCE WILLIAM PARKWAY,1.0,80.62393296724161
0294 /PRINCE WILLIAM PARKWAY,3.0,60.62393296724162
0294 PRINCE WILLIAM,3.0,60.62393296724162
0294 PRINCE WILLIAM COUNTY PARKWAY,1.0,80.62393296724161
0294 PRINCE WILLIAM PARK WAY,4.0,60.19734551238405
0294 PRINCE WILLIAM PARKWAY,1.803125,1.0
0294 PRINCE WILLIAM PRKWAY,1.0,81.47710787695678
0294 PRINCEWILLIAM PARKWAY,1.0,81.47710787695678
0294 PRINCW WILLIAM PARKWAY,3.0,60.62393296724162
0294 SUDLEY ROAD,3.0,60.62393296724162
0294 \ PRINCE WILLIAM PARKWAY,1.0,81.47710787695678
"0294, PRINCE WILLIAM PARKWAY",1.0,81.47710787695678
0294-PRINCE WILLIAM PARKWAY,1.5,50.62393296724162
0294/ PRINCE WILLIAM COUNTY PARKWAY,1.0,81.47710787695678
0294/ PRINCE WILLIAM PARKWAY,1.4,45.9314709638083
0294/PRINCE WILLIAM COUNTY PARKWAY,3.0,60.62393296724162
0294/PRINCE WILLIAM PARKWAY,1.6,41.66559641523255
0294_PRINCE WILLIAM PARKWAY,3.0,59.344170602668896
0297 PRINCE WILLIAM PARKWAY,1.0,81.47710787695678
0360 / HULL STREET ROAD,1.0,81.0505204220992
0369 / HORNER ROAD,1.0,81.47710787695678
0394 COLLEGE DRIVE,3.0,60.62393296724162
0461  OLD BRIDGE RD,3.0,60.62393296724162
0463 / SPRIGGS ROAD,1.0,81.47710787695678
0516 SUDLEY MANOR DRIVE,1.0,81.47710787695678
0600 MOUNTAIN ROAD,1.0,79.77075805752648
0601 WATERFALL RD,4.0,60.19734551238405
0601 WATERFALL ROAD,2.0,70.19734551238405
0601/WATERFAAL RD,1.0,81.47710787695678
0601/WATERFALL ROAD,1.0,81.47710787695678
0603 / GREENWICH ROAD,4.0,60.19734551238405
0603 GREENWICH ROAD,1.4,48.91758314781132
0604 GENITO ROAD,1.0,81.47710787695678
0605 FAUQUIER DRIVE,2.0,70.19734551238405
0606 HORNBAKER ROAD,1.0,81.47710787695678
0607 CARRIAGE FORD ROAD,1.0,81.47710787695678
0607/ CARRIAGE FORD ROAD,1.0,81.47710787695678
0607/CARRIAGE FORD ROAD,1.0,81.47710787695678
0608 / ORLANDO ROAD,1.0,81.47710787695678
0608 ORLANDO ROAD,1.0,81.0505204220992
0610 / CARDINAL DR,3.3333333333333335,47.637820783238595
0610 / CARDINAL DRIVE,1.4,48.91758314781132
0610 / NEABSCO RD,3.0,60.62393296724162
0610 / NEABSCO ROAD,1.0,81.47710787695678
0610 /GARRISONVILLE ROAD,3.0,60.62393296724162
0610 CARDINAL DR,1.0,81.47710787695678
0610 CARDINAL DRIVE,1.878787878787879,25.455273130644702
0610 GARRISONVILLE ROAD,1.0,81.47710787695678
0610 NEABSCO RD,1.0,81.47710787695678
0610 NEABSCO ROAD,2.5,47.637820783238595
0610/CARDINAL DRIVE,3.0,58.06440823809618
0611 /  VALLEY VIEW DRIVE,1.0,81.47710787695678
0611 / FLEETWOOD DR,1.6666666666666667,49.77075805752647
0611 / FLEETWOOD DRIVE,1.0,81.47710787695678
0611 / FLEETWOOD ROAD,1.0,81.47710787695678
0611 FLEETWOOD DRIVE,2.272727272727273,41.239008960374974
0611 VALLEY VIEW DR,3.0,60.62393296724162
0611 VALLEY VIEW DRIVE,1.6666666666666667,49.77075805752647
0611 VALLEY VIEW ROAD,1.0,81.47710787695678
0611VALLEY VIEW DRIVE,1.0,81.0505204220992
0611_FLEETWOOD_DR,1.0,81.47710787695678
0612 / YATES FORD ROAD,2.0,68.49099569295375
0612 HENDERSON DRIVE,1.0,81.47710787695678
0612 YATES FORD RD,4.0,60.19734551238405
0612 YATES FORD ROAD,1.8421052631578947,36.97313441179922
0612/ YATES FORD ROAD,1.0,81.47710787695678
0612/YATES FORD ROAD,1.0,81.47710787695678
0612YATES FORD ROAD,1.0,81.47710787695678
0614 / EVANS FORD ROAD,1.0,81.47710787695678
0614 MINNIEVILLE ROAD,3.0,60.62393296724162
0614 OLD BRIDGE ROAD,3.0,60.62393296724162
0614/EVANS FORD ROAD,1.0,81.47710787695678
0615 / CROPP ROAD,3.0,60.62393296724162
0615 LOUDOUN DR,1.0,81.47710787695678
0616 / 157 OLD CENTREVILLE RD,1.0,81.47710787695678
0616 / BLOOMS QUARRY LANE,1.0,81.47710787695678
0616 / BLOOMS QUARRY LN,3.0,60.62393296724162
0616 / OLD CENTREVILLE ROAD,1.0,81.47710787695678
0616 BLOOMS QUARRY LANE,1.0,81.47710787695678
0616 BLOOMS QUARRY LN.,1.0,81.47710787695678
0616 OLD CENTERVILLE RD,4.0,60.19734551238405
0616 OLD CENTERVILLE ROAD,3.0,60.62393296724162
0616 OLD CENTREVILLE RD,2.5,49.77075805752647
0616 OLD CENTREVILLE RD.,1.0,81.47710787695678
0616 OLD CENTREVILLE ROAD,1.5263157894736843,39.53265914094467
0616 OLD CENTRVILLE ROAD,1.0,81.47710787695678
0616/BLOOMS QUARRY LN,1.0,81.47710787695678
0616/OLD CENTERVILLE,1.0,81.47710787695678
0616/OLD CENTREVILLE RD,1.0,81.47710787695678
0616_CENTREVILLE ROAD,4.0,60.19734551238405
0616_OLD CENTREVILLE ROAD,2.6666666666666665,48.490995692953746
0618 / MAPLEWOOD DR,3.0,60.62393296724162
0618 / MAPLEWOOD DRIVE,3.0,60.62393296724162
0618 MAPLEWOOD DRIVE,1.0,80.19734551238405
0618/ MAPLEWOOD DRIVE,1.0,81.47710787695678
0618/MAPLEWOOD DR,1.0,81.47710787695678
0619  BRISTOW ROAD,1.0,81.47710787695678
0619  JOPLIN RD,1.0,81.47710787695678
0619  LINTON HALL RD,1.0,81.47710787695678
0619 / BRISTOW RD,1.6666666666666667,49.77075805752647
0619 / BRISTOW ROAD,1.0,80.62393296724161
0619 / FULLER HEIGHTS RD,1.0,81.47710787695678
0619 / FULLER HEIGHTS ROAD,1.0,81.0505204220992
0619 / JOPLIN RD,3.0,60.62393296724162
0619 / JOPLIN ROAD,1.5,46.78464587352345
0619 / LINTON HALL RD,1.5454545454545454,44.651708599235576
0619 / LINTON HALL ROAD,1.0,79.77075805752648
0619 / VAN BUREN ROAD,3.0,60.62393296724162
0619 // BRISTOW ROAD,1.0,81.47710787695678
0619 /LINTON HALL ROAD,3.0,60.62393296724162
0619 BALLS FORD ROAD,1.0,81.47710787695678
0619 BRISTOW RD,1.0,81.47710787695678
0619 BRISTOW ROAD,1.8857142857142857,23.748923311214405
0619 FULLER HEIGHTS ROAD,1.4285714285714286,47.637820783238595
0619 JOPLIN RD,1.0,81.47710787695678
0619 JOPLIN ROAD,2.142857142857143,39.1060716860871
0619 LINTON HALL,1.0,81.47710787695678
0619 LINTON HALL DRIVE,1.0,81.47710787695678
0619 LINTON HALL RD,1.25,47.637820783238595
0619 LINTON HALL ROAD,1.5,9.67153730091443
0619/ FULLER HEIGHTS ROAD,3.0,60.62393296724162
0619/ JOPLIN ROAD,3.0,60.62393296724162
0619/ LINTON HALL ROAD,1.0,81.47710787695678
0619/BRISTOW ROAD,2.5,49.77075805752647
0619/JOPLIN RD,1.0,81.0505204220992
0619/JOPLIN ROAD,1.0,78.49099569295375
0619/LINTON HALL RD,1.6666666666666667,49.77075805752647
0619/LINTON HALL ROAD,1.4444444444444444,46.35805841866588
0619/OLD TRIANGLE RD / 0696/FULLER HEIGHTS RD,1.0,81.47710787695678
0619BRISTOW RD,3.0,60.62393296724162
0619FULLER RD,1.0,81.47710787695678
0619JOPLIN ROAD,1.0,81.47710787695678
0619LINTON HALL ROAD,1.0,81.47710787695678
0619_LINTON HALL ROAD,1.0,80.62393296724161
0620 MINNIEVILLE ROAD,1.0,81.47710787695678
0621 / BALLS FORD RD,1.0,80.62393296724161
0621 / BALLS FORD ROAD,2.0,65.9314709638083
0621 / DEVLIN RD,1.0,81.47710787695678
